method,sparsity,target_bits,run_id,wikitext2_ppl,ptb_ppl,c4_ppl,time_sec,peak_mem_gb,avg_bits
original,0.5,8.0,1,36.308235,55.684242,35.588734,,,
original,0.5,8.0,2,36.308235,55.684242,35.588734,,,
original,0.5,8.0,3,36.308235,55.684242,35.588734,,,
original,0.7,3.0,1,382.549286,611.993591,235.540649,,,
original,0.7,3.0,2,382.549286,611.993591,235.540649,,,
original,0.7,3.0,3,382.549286,611.993591,235.540649,,,
original,0.7,4.0,1,281.376007,364.770599,202.244797,,,
original,0.7,4.0,2,281.376007,364.770599,202.244797,,,
original,0.7,4.0,3,281.376007,364.770599,202.244797,,,
original,0.7,8.0,1,263.313202,328.667419,190.216202,,,
original,0.7,8.0,2,263.313202,328.667419,190.216202,,,
original,0.7,8.0,3,263.313202,328.667419,190.216202,,,
